destination,passenger,weather,temperature,time,coupon,expiration,gender,age,maritalStatus,has_children,education,occupation,income,car,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ5min,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,direction_opp,Y
No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Female,21,Unmarried partner,True,Some college - no degree,Unemployed,$37500 - $49999,Unknown,never,never,4~8,4~8,1~3,True,False,False,False,True,True
No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Female,21,Unmarried partner,True,Some college - no degree,Unemployed,$37500 - $49999,Unknown,never,never,4~8,4~8,1~3,True,False,False,False,True,False
No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Female,21,Unmarried partner,True,Some college - no degree,Unemployed,$37500 - $49999,Unknown,never,never,4~8,4~8,1~3,True,True,False,False,True,True
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Female,21,Unmarried partner,True,Some college - no degree,Unemployed,$37500 - $49999,Unknown,never,never,4~8,4~8,1~3,True,True,False,False,True,False
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Female,21,Unmarried partner,True,Some college - no degree,Unemployed,$37500 - $49999,Unknown,never,never,4~8,4~8,1~3,True,True,False,False,True,False
No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Female,21,Unmarried partner,True,Some college - no degree,Unemployed,$37500 - $49999,Unknown,never,never,4~8,4~8,1~3,True,True,False,False,True,True
No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Female,21,Unmarried partner,True,Some college - no degree,Unemployed,$37500 - $49999,Unknown,never,never,4~8,4~8,1~3,True,True,False,False,True,True
No Urgent Place,Kid(s),Sunny,80,10AM,Restaurant(<20),2h,Female,21,Unmarried partner,True,Some college - no degree,Unemployed,$37500 - $49999,Unknown,never,never,4~8,4~8,1~3,True,True,False,False,True,True
No Urgent Place,Kid(s),Sunny,80,10AM,Carry out & Take away,2h,Female,21,Unmarried partner,True,Some college - no degree,Unemployed,$37500 - $49999,Unknown,never,never,4~8,4~8,1~3,True,True,False,False,True,True
No Urgent Place,Kid(s),Sunny,80,10AM,Bar,1d,Female,21,Unmarried partner,True,Some college - no degree,Unemployed,$37500 - $49999,Unknown,never,never,4~8,4~8,1~3,True,True,False,False,True,False
No Urgent Place,Kid(s),Sunny,80,2PM,Restaurant(<20),1d,Female,21,Unmarried partner,True,Some college - no degree,Unemployed,$37500 - $49999,Unknown,never,never,4~8,4~8,1~3,True,False,False,False,True,True
No Urgent Place,Kid(s),Sunny,55,2PM,Restaurant(<20),1d,Female,21,Unmarried partner,True,Some college - no degree,Unemployed,$37500 - $49999,Unknown,never,never,4~8,4~8,1~3,True,True,False,False,True,True
No Urgent Place,Kid(s),Sunny,55,6PM,Coffee House,2h,Female,21,Unmarried partner,True,Some college - no degree,Unemployed,$37500 - $49999,Unknown,never,never,4~8,4~8,1~3,True,True,False,False,True,True
Home,Alone,Sunny,55,6PM,Bar,1d,Female,21,Unmarried partner,True,Some college - no degree,Unemployed,$37500 - $49999,Unknown,never,never,4~8,4~8,1~3,True,False,False,True,False,True
Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Female,21,Unmarried partner,True,Some college - no degree,Unemployed,$37500 - $49999,Unknown,never,never,4~8,4~8,1~3,True,True,False,False,True,True
Home,Alone,Sunny,80,6PM,Coffee House,2h,Female,21,Unmarried partner,True,Some college - no degree,Unemployed,$37500 - $49999,Unknown,never,never,4~8,4~8,1~3,True,False,False,False,True,False
